AppBundle\Entity\Employee,,,,,,,,
firstName,lastName,middleName,dob,position,avatar,biography,createdAt,updatedAt
Volodymyr,Osipov,<firstName()>,<dateTime()>,theatre_director,"<getMedia('avatars/vladimir-osipov.jpg', 'employee')>","Works in the theatre on the position of a director till 1999. Honoured Art Worker of Ukraine since 2009. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary in 1993. Specialist in theatre study, organizer of theatrical business.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Serhiy,Proskurnja,<firstName()>,<dateTime()>,acting_artistic_director,"<getMedia('avatars/serhiy-proskurnja.jpg', 'employee')>",-,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleksandr,Pavlutin,<firstName()>,<dateTime()>,production_director,"<getMedia('avatars/oleksandr-pavlutin.jpg', 'employee')>",Works in the theatre since 2002. Acting artistic director of the theatre since 2010. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary in 2002.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Serhiy,Ridvaneckij,<firstName()>,<dateTime()>,main_artist,"<getMedia('avatars/serhiy-ridvaneckij.jpg', 'employee')>","Main artist in the theatre since 2003. Graduated from Lviv State Institute of Applied and Decorative Arts in 1991. Got up 39 performances, 8 of them in Cherkasy theatre.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Nataliya,Ridvanetska,<firstName()>,<dateTime()>,costumer,"<getMedia('avatars/nataliya-ridvanetska.jpg', 'employee')>","Художник по костюмах. У театрі з 2003 року.Закінчила Львівський державний інститут прикладного і декоративного мистецтва у 1992 році. Художник-технолог. Поставлено 43 вистави, з них у Черкаському театрі - 12. Costumer. Works in the theatre since 2003. Graduated from Lviv State Institute of Applied and Decorative Arts in 1992. Artist-technologist. Got up 43 performances, 12 of them in Cherkasy theatre.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Nadiya,Nikifirova,<firstName()>,<dateTime()>,art_director,"<getMedia('avatars/nadiya-nikifirova.jpg', 'employee')>","Art director in the theatre since 1980. Graduated from Leningrad State Institute of  Drama, Music and Cinematography in 1980. Got up 70 performances, 55 of them in Cherkasy theatre.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Volodymyr,Tatarinov,<firstName()>,<dateTime()>,main_choreographer,"<getMedia('avatars/volodymyr-tatarinov.jpg', 'employee')>",Honored Artist of Ukraine since 2007. Main choreographer. Works in the theatre since 1984. Graduated from Dnepropetrovsk State Theatre School in 1972. Director of choreographic collective.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Varvara,Prisagnenko,<firstName()>,<dateTime()>,head_of_the_literary_and_dramatic_part,"<getMedia('avatars/varvara-prisagnenko.jpg', 'employee')>",Honored Worker of  culture of Ukraine since 2007. Head of the literary and dramatic part. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary in 1975. In the theatre since 1975.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Olena,Belkina,<firstName()>,<dateTime()>,conductor,"<getMedia('avatars/olene-belkina.jpg', 'employee')>","Works in the theatre since 1995 as accompanist, since 2008 as conductor. Graduated from Cherkasy Music School n.a. Gulak-Artemowski.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Svitlana,Lezhnenko,<firstName()>,<dateTime()>,accompanist,"<getMedia('avatars/svitlana-lezhnenko.jpg', 'employee')>",-,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
