AppBundle\Entity\Employee,,,,,,,,
firstName,lastName,dob,position,avatar,biography,createdAt,updatedAt,
Володимир,Осипов,<dateTime()>,theatre_director,"<getMedia('avatars/vladimir-osipov.jpg', 'employee')>","У театрі на посаді директора працює з 1999 року.Заслужений діяч мистецтв України з 2009 року. Закінчив Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 1993 році. Театрознавець, організатор театральної справи.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Сергій,Проскурня,<dateTime()>,acting_artistic_director,"<getMedia('avatars/serhiy-proskurnja.jpg', 'employee')>",-,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олександр,Павлютін,<dateTime()>,production_director,"<getMedia('avatars/oleksandr-pavlutin.jpg', 'employee')>",в театрі працює з 2002 року. В.О художнього керівника театру з 2010 року. Закінчив Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 2002 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Сергій,Ридванецький,<dateTime()>,main_artist,"<getMedia('avatars/serhiy-ridvaneckij.jpg', 'employee')>","Головний художник У театрі з 2003 року. Закінчив Львівський державний інститут прикладного і декоративного мистецтва у 1991 році. Художник декоративно-прикладного мистецтва. Поставлено 39 вистав, з них у Черкаському театрі - 8","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Наталія,Ридванецька,<dateTime()>,costumer,"<getMedia('avatars/nataliya-ridvanetska.jpg', 'employee')>","Художник по костюмах. У театрі з 2003 року.Закінчила Львівський державний інститут прикладного і декоративного мистецтва у 1992 році. Художник-технолог. Поставлено 43 вистави, з них у Черкаському театрі - 12.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Надія,Нікіфорова,<dateTime()>,art_director,"<getMedia('avatars/nadiya-nikifirova.jpg', 'employee')>","Художник-постановник, у театрі з 1980 року. Закінчила Ленінградський державний інститут театру, музики і кінематографії у 1980 році. Поставлено 70 вистав, у Черкаському театрі - 55.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Володимир,Татарінов,<dateTime()>,main_choreographer,"<getMedia('avatars/volodymyr-tatarinov.jpg', 'employee')>",Заслужений артист України з 2007 року.Балетмейстер-постановник.У театрі з 1984 року. Закінчив Дніпропетровське державне театральне училище у 1972 році.Керівник хореографічного колективу.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Варвара,Присяжненко,<dateTime()>,head_of_the_literary_and_dramatic_part,"<getMedia('avatars/varvara-prisagnenko.jpg', 'employee')>",Заслужений працівник культури України з 2007 року. Керівник літературно-драматичною частиною. Закінчила Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 1975 році. У театрі з 1975 року.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олена,Бєлкіна,<dateTime()>,conductor,"<getMedia('avatars/olene-belkina.jpg', 'employee')>","В театрі працює з 1995 року на посаді концертмейстер, з 2008 року диригент. Закінчила черкаське музичне училище ім. С. Гулака-Артемовського.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Світлана,Лежненко,<dateTime()>,accompanist,"<getMedia('avatars/svitlana-lezhnenko.jpg', 'employee')>",-,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Галина,Кириченко,<dateTime()>,accompanist,"<getMedia('avatars/galyna-kuruchenko.jpg', 'employee')>",В театрі з 1997 року. Закінчила Черкаське музичне училище імені С.Гулака-Артемовського.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Сергій,Бобров,<dateTime()>,actor,"<getMedia('avatars/serhiy-bobrov.jpg', 'employee')>",Заслужений артист України з 2009 року. У театрі працює з 1996 року. Закінчив Дніпропетровське державне театральне училище у 1996 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Наталія,Вігран,<dateTime()>,actress,"<getMedia('avatars/nataliya-vigran.jpg', 'employee')>",Заслужена артистка України з 2009 року. У театрі працює з 1994 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Марія,Марущак,<dateTime()>,actress,"<getMedia('avatars/mariya-maryshchak.jpg', 'employee')>",У театрі з 2008 року.Закінчила Вінницьке училище культури і мистецтв,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
