Slug,Title,Link,Age Limit,Producer,Len
lesia-ukrayinka,Леся Українка,https://theatre-shevchenko.ck.ua/uk/performance/lesia-ukrayinka,16,Гончаров П. Д.,80
prigodi-v-krayini-svitloforiyi,ПРИГОДИ В КРАЇНІ СВІТЛОФОРІЇ,https://theatre-shevchenko.ck.ua/uk/performance/prigodi-v-krayini-svitloforiyi,0,Кузьмин О. Б.,50
osmachka-vilnii,Осьмачка... Вільний,https://theatre-shevchenko.ck.ua/uk/performance/osmachka-vilnii,16,Садаклієв С. С.,70
kontrabas-rozbushuvavsia,Контрабас розбушувався,https://theatre-shevchenko.ck.ua/uk/performance/kontrabas-rozbushuvavsia,16,Жила В. М.,120
solnii-poetichnii-kontsert-krila,"СОЛЬНИЙ ПОЕТИЧНИЙ КОНЦЕРТ ""КРИЛА""",https://theatre-shevchenko.ck.ua/uk/performance/solnii-poetichnii-kontsert-krila,12,Ластівка О. С.,60
rizdvianie-viertiepnie-diistvo,РІЗДВЯНЕ ВЕРТЕПНЕ ДІЙСТВО,https://theatre-shevchenko.ck.ua/uk/performance/rizdvianie-viertiepnie-diistvo,12,Ластівка П. П.,80
snigova-korolieva,СНІГОВА КОРОЛЕВА,https://theatre-shevchenko.ck.ua/uk/performance/snigova-korolieva,0,Садаклієв С. С.,75
kaidashieva-sim-ia,Кайдашева сім'я,https://theatre-shevchenko.ck.ua/uk/performance/kaidashieva-sim-ia,12,Куниця А. ,160
zhinocha-logika,ЖІНОЧА ЛОГІКА,https://theatre-shevchenko.ck.ua/uk/performance/zhinocha-logika,16,Колосович Л. Л.,120
kotik-pivnik-i-lisichka,"КОТИК, ПІВНИК І ЛИСИЧКА",https://theatre-shevchenko.ck.ua/uk/performance/kotik-pivnik-i-lisichka,0,Кузьмин О. Б.,50
pribuliets,ПРИБУЛЕЦЬ,https://theatre-shevchenko.ck.ua/uk/performance/pribuliets,16,Павлютін О. В.,60
oliena-nie-priishla-dodomu,« Олена …не прийшла додому»,https://theatre-shevchenko.ck.ua/uk/performance/oliena-nie-priishla-dodomu,16,Жила В. М.,120
korolieva-zagublienikh-g-udzikiv,КОРОЛЕВА ЗАГУБЛЕНИХ ҐУДЗИКІВ,https://theatre-shevchenko.ck.ua/uk/performance/korolieva-zagublienikh-g-udzikiv,0,Павлютін О. В.,55
surogatna-mama,СУРОГАТНА МАМА,https://theatre-shevchenko.ck.ua/uk/performance/surogatna-mama,16,Ластівка П. П.,130
anna-kiyivs-ka-korolieva-frantsiyi,АННА КИЇВСЬКА-КОРОЛЕВА ФРАНЦІЇ,https://theatre-shevchenko.ck.ua/uk/performance/anna-kiyivs-ka-korolieva-frantsiyi,16,Ластівка П. П.,40
obieriezhno-zhinki,ОБЕРЕЖНО ЖІНКИ,https://theatre-shevchenko.ck.ua/uk/performance/obieriezhno-zhinki,16,Колосович Л. Л.,105
